"Ár";"Alls";"Þungar flugvélar";"Léttar flugvélar";"Svifflugur";"Þyrlur"
"1984";221;18;177;23;3
"1985";219;15;181;21;2
"1986";249;19;204;23;3
"1987";231;19;189;20;3
"1988";311;16;267;25;3
"1989";323;16;279;24;4
"1990";315;14;273;25;3
"1991";320;18;273;24;5
"1992";319;19;19;24;5
"1993";319;24;264;26;5
"1994";313;22;257;29;5
"1995";324;30;259;29;6
"1996";330;35;258;32;5
"1997";332;41;255;31;5
"1998";330;41;252;32;5
"1999";336;45;254;32;5
"2000";340;46;257;33;4
"2001";342;50;255;33;4
"2002";360;60;263;32;5
"2003";369;67;264;33;5
"2004";376;80;256;34;6
"2005";393;92;261;34;6
"2006";397;87;269;35;6
"2007";407;86;278;36;7
"2008";405;78;279;38;10
"2009";406;71;283;40;12
"2010";399;68;278;40;13
"2011";381;67;271;32;11
"2012";366;61;265;30;10
"2013";361;61;260;28;12
"2014";363;64;261;27;11
